Date,Open,High,Low,Close,Adj Close,Volume
2026-01-12,259.16,261.3,256.8,260.25,260.25,45263800
2026-01-13,258.72,261.81,258.39,261.05,261.05,45730800
2026-01-14,259.49,261.82,256.71,259.96,259.96,40019400
2026-01-15,260.65,261.04,257.05,258.21,258.21,39388600
2026-01-16,257.9,258.9,254.93,255.53,255.53,72142800
2026-01-20,252.73,254.79,243.42,246.7,246.7,80267500
2026-01-21,248.7,251.56,245.18,247.65,247.65,54641700
2026-01-22,249.2,251.0,248.15,248.35,248.35,39708300
2026-01-23,247.32,249.41,244.68,248.04,248.04,41689000
2026-01-26,251.48,256.56,249.8,255.41,255.41,55969200
2026-01-27,259.17,261.95,258.21,258.27,258.27,49566400
2026-07-09,310.51,316.53,308.16,316.22,316.22,48124500
2026-07-10,314.72,316.91,312.17,315.32,315.32,34132300
2026-07-13,317.02,323.45,315.78,317.31,317.31,43257800
2026-07-14,313.76,316.19,311.91,314.86,314.86,36336800
2026-07-15,317.62,328.73,317.32,327.5,327.5,60957600
2026-07-16,328.01,334.68,326.79,333.26,333.26,62970600
2026-07-17,331.98,334.99,329.0,333.74,333.74,63407100
2026-07-20,333.51,333.71,323.68,326.59,326.59,53468000
2026-07-21,323.13,329.6,322.22,327.74,327.74,41338900
2026-07-22,327.87,329.0,323.34,325.89,325.89,38755900
2026-07-23,321.73,323.3,319.35,321.66,321.66,40840800
